annual_income,loan_purpose,loan_amount,interest_rate
31536,debt_consolidation,12000,20
30000,credit_card,12900,22.91
55000,credit_card,2000,9.93
102000,debt_consolidation,25000,23.88
63000,debt_consolidation,13000,21.45
66000,debt_consolidation,15000,20
130000,debt_consolidation,35000,15.05
60000,debt_consolidation,15000,10.9
62400,debt_consolidation,20000,21.85
48000,credit_card,8000,13.58
45000,credit_card,10000,15.05
190000,debt_consolidation,13850,21.45
73000,debt_consolidation,20000,13.59
70000,debt_consolidation,8000,16.02
89000,debt_consolidation,34000,10.91
133500,credit_card,35000,15.05
50000,credit_card,5000,16.02
44500,credit_card,12800,18.06
66000,credit_card,5000,6.72
80000,debt_consolidation,28000,21.85
59000,debt_consolidation,20000,9.92
26000,debt_consolidation,8400,16.01
97000,debt_consolidation,20000,18.45
58000,debt_consolidation,23525,10.41
60000,credit_card,20000,19.03
74106,credit_card,7000,6.72
70260,debt_consolidation,15000,13.59
38043,debt_consolidation,10000,9.44
50000,home_improvement,8400,13.58
65000,credit_card,25000,13.58
115000,debt_consolidation,40000,13.59
88000,credit_card,7300,6.08
42000,debt_consolidation,10000,17.09
100000,debt_consolidation,28000,11.98
94000,credit_card,30000,18.45
55000,debt_consolidation,10000,6.07
78000,credit_card,10000,6.71
40765,credit_card,4500,9.43
59000,debt_consolidation,24000,7.97
85600,home_improvement,14800,18.06
30000,debt_consolidation,5000,11.98
75000,debt_consolidation,20000,18.06
30720,credit_card,9600,17.09
34416,credit_card,11500,9.43
41787,credit_card,12800,18.06
50000,credit_card,15000,13.59
120000,debt_consolidation,2200,30.65
69000,debt_consolidation,6000,13.59
55836,credit_card,16350,16.02
45000,debt_consolidation,3000,15.05
120000,debt_consolidation,12000,16.02
64874,debt_consolidation,21200,18.06
67000,debt_consolidation,7500,16.02
38000,debt_consolidation,3600,12.61
100000,debt_consolidation,27000,6.71
30000,debt_consolidation,4200,13.58
63500,home_improvement,34000,11.98
42000,debt_consolidation,20000,11.99
40000,debt_consolidation,16800,13.59
26000,debt_consolidation,10000,7.96
26000,debt_consolidation,6000,9.44
65000,debt_consolidation,36525,10.42
32000,debt_consolidation,7000,18.45
75000,debt_consolidation,18000,11.99
50000,debt_consolidation,3500,16.02
25000,credit_card,5000,11.98
55000,debt_consolidation,30000,25.81
49000,credit_card,13100,18.06
56000,debt_consolidation,15000,11.98
82000,debt_consolidation,5000,11.99
140000,credit_card,24000,10.42
40000,home_improvement,19675,24.84
130000,debt_consolidation,34450,13.59
53701,home_improvement,12950,17.47
35000,credit_card,10000,13.59
31000,debt_consolidation,9800,14.08
53000,debt_consolidation,15000,23.88
48425,debt_consolidation,15300,9.92
65000,home_improvement,20000,13.59
65000,debt_consolidation,20000,19.03
65000,credit_card,20000,21.45
61000,debt_consolidation,8000,17.47
245000,debt_consolidation,12475,21.85
90000,debt_consolidation,21000,10.42
62000,home_improvement,10450,13.58
55000,debt_consolidation,10000,19.03
69900,credit_card,6000,14.07
32000,debt_consolidation,10000,24.85
35000,debt_consolidation,10000,22.9
95000,debt_consolidation,24100,30.65
26000,debt_consolidation,4000,20
35000,debt_consolidation,10000,17.09
79000,home_improvement,4000,10.42
50000,debt_consolidation,15000,15.04
89179,debt_consolidation,12000,7.97
60000,debt_consolidation,4000,18.06
55000,debt_consolidation,25000,28.72
50000,debt_consolidation,12800,21.45
32000,debt_consolidation,15000,20.39
60000,debt_consolidation,25000,19.03
76000,debt_consolidation,15000,6.72
45000,debt_consolidation,15500,9.44
